,Week,Day (Str),Time Slot,Team 1,Team 2,Location
0,0,Sat.,0,Amherst College,Tufts University,Tufts University
1,1,Fri.,1,Amherst College,Trinity College,Amherst College
2,1,Sat.,2,Amherst College,Connecticut College,Amherst College
3,1,Sat.,5,Amherst College,Wesleyan University,Amherst College
4,2,Fri.,0,Amherst College,Bowdoin College,Bates College
5,2,Sat.,4,Amherst College,Bates College,Bates College
6,2,Sat.,5,Amherst College,Colby College,Bates College
7,3,Sat.,1,Amherst College,Williams College,Tufts University
8,4,Fri.,0,Amherst College,Middlebury College,Middlebury College
9,4,Sat.,3,Amherst College,Hamilton College,Middlebury College
10,0,Fri.,1,Bates College,Middlebury College,Bowdoin College
11,0,Sat.,3,Bates College,Hamilton College,Bowdoin College
12,1,Sat.,1,Bates College,Williams College,Bates College
13,2,Sat.,2,Bates College,Tufts University,Bates College
14,2,Sat.,4,Bates College,Amherst College,Bates College
15,3,Fri.,0,Bates College,Colby College,Colby College
16,3,Sat.,1,Bates College,Bowdoin College,Colby College
17,4,Fri.,2,Bates College,Trinity College,Trinity College
18,4,Sat.,6,Bates College,Wesleyan University,Trinity College
19,4,Sat.,8,Bates College,Connecticut College,Trinity College
20,0,Fri.,0,Bowdoin College,Hamilton College,Bowdoin College
21,0,Sat.,2,Bowdoin College,Middlebury College,Bowdoin College
22,1,Fri.,0,Bowdoin College,Williams College,Bates College
23,2,Fri.,0,Bowdoin College,Amherst College,Bates College
24,2,Sat.,3,Bowdoin College,Tufts University,Bates College
25,3,Sat.,1,Bowdoin College,Bates College,Colby College
26,3,Sat.,2,Bowdoin College,Colby College,Colby College
27,4,Fri.,1,Bowdoin College,Connecticut College,Trinity College
28,4,Sat.,4,Bowdoin College,Wesleyan University,Trinity College
29,4,Sat.,5,Bowdoin College,Trinity College,Trinity College
30,0,Sat.,4,Colby College,Hamilton College,Bowdoin College
31,0,Sat.,5,Colby College,Middlebury College,Bowdoin College
32,1,Sat.,2,Colby College,Williams College,Bates College
33,2,Fri.,1,Colby College,Tufts University,Bates College
34,2,Sat.,5,Colby College,Amherst College,Bates College
35,3,Fri.,0,Colby College,Bates College,Colby College
36,3,Sat.,2,Colby College,Bowdoin College,Colby College
37,4,Fri.,0,Colby College,Wesleyan University,Trinity College
38,4,Sat.,3,Colby College,Connecticut College,Trinity College
39,4,Sat.,7,Colby College,Trinity College,Trinity College
40,0,Fri.,0,Connecticut College,Williams College,Williams College
41,1,Sat.,2,Connecticut College,Amherst College,Amherst College
42,1,Sat.,4,Connecticut College,Tufts University,Amherst College
43,2,Sat.,1,Connecticut College,Trinity College,Connecticut College
44,2,Sat.,2,Connecticut College,Wesleyan University,Connecticut College
45,3,Fri.,1,Connecticut College,Hamilton College,Wesleyan University
46,3,Sat.,4,Connecticut College,Middlebury College,Wesleyan University
47,4,Fri.,1,Connecticut College,Bowdoin College,Trinity College
48,4,Sat.,3,Connecticut College,Colby College,Trinity College
49,4,Sat.,8,Connecticut College,Bates College,Trinity College
50,0,Fri.,0,Hamilton College,Bowdoin College,Bowdoin College
51,0,Sat.,3,Hamilton College,Bates College,Bowdoin College
52,0,Sat.,4,Hamilton College,Colby College,Bowdoin College
53,1,Sat.,0,Hamilton College,Middlebury College,Hamilton College
54,2,Sat.,0,Hamilton College,Williams College,Hamilton College
55,3,Fri.,1,Hamilton College,Connecticut College,Wesleyan University
56,3,Sat.,2,Hamilton College,Wesleyan University,Wesleyan University
57,3,Sat.,3,Hamilton College,Trinity College,Wesleyan University
58,4,Fri.,1,Hamilton College,Tufts University,Middlebury College
59,4,Sat.,3,Hamilton College,Amherst College,Middlebury College
60,0,Fri.,1,Middlebury College,Bates College,Bowdoin College
61,0,Sat.,2,Middlebury College,Bowdoin College,Bowdoin College
62,0,Sat.,5,Middlebury College,Colby College,Bowdoin College
63,1,Sat.,0,Middlebury College,Hamilton College,Hamilton College
64,2,Sat.,1,Middlebury College,Williams College,Hamilton College
65,3,Fri.,0,Middlebury College,Trinity College,Wesleyan University
66,3,Sat.,4,Middlebury College,Connecticut College,Wesleyan University
67,3,Sat.,5,Middlebury College,Wesleyan University,Wesleyan University
68,4,Fri.,0,Middlebury College,Amherst College,Middlebury College
69,4,Sat.,2,Middlebury College,Tufts University,Middlebury College
70,0,Sat.,2,Trinity College,Williams College,Williams College
71,1,Fri.,1,Trinity College,Amherst College,Amherst College
72,1,Sat.,3,Trinity College,Tufts University,Amherst College
73,2,Fri.,0,Trinity College,Wesleyan University,Connecticut College
74,2,Sat.,1,Trinity College,Connecticut College,Connecticut College
75,3,Fri.,0,Trinity College,Middlebury College,Wesleyan University
76,3,Sat.,3,Trinity College,Hamilton College,Wesleyan University
77,4,Fri.,2,Trinity College,Bates College,Trinity College
78,4,Sat.,5,Trinity College,Bowdoin College,Trinity College
79,4,Sat.,7,Trinity College,Colby College,Trinity College
80,0,Sat.,0,Tufts University,Amherst College,Tufts University
81,1,Fri.,0,Tufts University,Wesleyan University,Amherst College
82,1,Sat.,3,Tufts University,Trinity College,Amherst College
83,1,Sat.,4,Tufts University,Connecticut College,Amherst College
84,2,Fri.,1,Tufts University,Colby College,Bates College
85,2,Sat.,2,Tufts University,Bates College,Bates College
86,2,Sat.,3,Tufts University,Bowdoin College,Bates College
87,3,Sat.,0,Tufts University,Williams College,Tufts University
88,4,Fri.,1,Tufts University,Hamilton College,Middlebury College
89,4,Sat.,2,Tufts University,Middlebury College,Middlebury College
90,0,Sat.,1,Wesleyan University,Williams College,Williams College
91,1,Fri.,0,Wesleyan University,Tufts University,Amherst College
92,1,Sat.,5,Wesleyan University,Amherst College,Amherst College
93,2,Fri.,0,Wesleyan University,Trinity College,Connecticut College
94,2,Sat.,2,Wesleyan University,Connecticut College,Connecticut College
95,3,Sat.,2,Wesleyan University,Hamilton College,Wesleyan University
96,3,Sat.,5,Wesleyan University,Middlebury College,Wesleyan University
97,4,Fri.,0,Wesleyan University,Colby College,Trinity College
98,4,Sat.,4,Wesleyan University,Bowdoin College,Trinity College
99,4,Sat.,6,Wesleyan University,Bates College,Trinity College
100,0,Fri.,0,Williams College,Connecticut College,Williams College
101,0,Sat.,1,Williams College,Wesleyan University,Williams College
102,0,Sat.,2,Williams College,Trinity College,Williams College
103,1,Fri.,0,Williams College,Bowdoin College,Bates College
104,1,Sat.,1,Williams College,Bates College,Bates College
105,1,Sat.,2,Williams College,Colby College,Bates College
106,2,Sat.,0,Williams College,Hamilton College,Hamilton College
107,2,Sat.,1,Williams College,Middlebury College,Hamilton College
108,3,Sat.,0,Williams College,Tufts University,Tufts University
109,3,Sat.,1,Williams College,Amherst College,Tufts University
